Date : 2023-10-19 11:07:50
Directory : /Users/imogen/Desktop/herdtools7
Total : 1604 files,  150632 codes, 24957 comments, 24104 blanks, all 199693 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64-ETS2/shelf.py                               | Python          |         17 |          0 |          4 |         21 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64-MTE-mixed/cats/web-tag.cfg                  | Properties      |         28 |          0 |          1 |         29 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64-MTE-mixed/cfgs/web-MTE-mixed.cfg            | Properties      |         29 |          0 |          1 |         30 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64-MTE-mixed/shelf.py                          | Python          |         11 |          0 |          4 |         15 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64-MTE-pick/cfgs/web-MTE.cfg                   | Properties      |         20 |          0 |          1 |         21 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64-MTE-pick/shelf.py                           | Python          |         11 |          0 |          4 |         15 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64-MTE/cats/web-tag.cfg                        | Properties      |         28 |          0 |          1 |         29 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64-MTE/cfgs/web-MTE.cfg                        | Properties      |         20 |          0 |          1 |         21 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64-MTE/shelf.py                                | Python          |      1,150 |          0 |          4 |      1,154 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64-VMSA/cfgs/new-web.cfg                       | Properties      |         27 |          0 |          2 |         29 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64-VMSA/shelf.py                               | Python          |         17 |          0 |          4 |         21 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64-down-one-leg/cfgs/web-dol.cfg               | Properties      |         15 |          0 |          1 |         16 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64-down-one-leg/shelf.py                       | Python          |         70 |          5 |          4 |         79 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64-faults/cfgs/new-web.cfg                     | Properties      |         14 |          0 |          1 |         15 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64-faults/shelf.py                             | Python          |         15 |          0 |          4 |         19 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64-ifetch/cfgs/new-web.cfg                     | Properties      |         27 |          0 |          2 |         29 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64-ifetch/shelf.py                             | Python          |         17 |          0 |          4 |         21 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64-mixed/cfgs/web-mixed.cfg                    | Properties      |         29 |          0 |          1 |         30 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64-mixed/shelf.py                              | Python          |         19 |          0 |          4 |         23 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64-pick/cfgs/new-web.cfg                       | Properties      |         14 |          0 |          1 |         15 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64-pick/shelf.py                               | Python          |         62 |          5 |          5 |         72 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64/cfgs/new-web.cfg                            | Properties      |         14 |          0 |          1 |         15 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64/shelf.py                                    | Python          |         66 |          6 |          4 |         76 |
| /Users/imogen/Desktop/herdtools7/catalogue/c11popl15/Makefile                                  | Makefile        |         26 |          4 |          7 |         37 |
| /Users/imogen/Desktop/herdtools7/catalogue/c11popl15/README.md                                 | Markdown        |         52 |          0 |         28 |         80 |
| /Users/imogen/Desktop/herdtools7/catalogue/c11popl15/c11.cfg                                   | Properties      |         11 |          0 |          1 |         12 |
| /Users/imogen/Desktop/herdtools7/catalogue/c11popl15/cfgs/c11web.cfg                           | Properties      |         27 |          1 |          1 |         29 |
| /Users/imogen/Desktop/herdtools7/catalogue/c11popl15/cfgs/cpp11.cfg                            | Properties      |         27 |          1 |          1 |         29 |
| /Users/imogen/Desktop/herdtools7/catalogue/c11popl15/genbook.sh                                | Shell Script    |         26 |          4 |          7 |         37 |
| /Users/imogen/Desktop/herdtools7/catalogue/c11popl15/genmodel.py                               | Python          |         83 |          7 |          9 |         99 |
| /Users/imogen/Desktop/herdtools7/catalogue/c11popl15/regression.py                             | Python          |        179 |         22 |         21 |        222 |
| /Users/imogen/Desktop/herdtools7/catalogue/c11popl15/shelf.py                                  | Python          |         34 |          0 |          9 |         43 |
| /Users/imogen/Desktop/herdtools7/catalogue/c11popl15/tests/illustrative/templates/genlitmus.py | Python          |        100 |          6 |         11 |        117 |
| /Users/imogen/Desktop/herdtools7/catalogue/demo/cfgs/cpp11.cfg                                 | Properties      |         27 |          1 |          1 |         29 |
| /Users/imogen/Desktop/herdtools7/catalogue/demo/cfgs/tutorial.cfg                              | Properties      |         15 |          0 |          1 |         16 |
